index,x,y,snippet,href
1,21.994,26.65,e',textedit:///work/_1/m001_008.ly:31:4:5
2,25.546,12.511,e'',textedit:///work/_1/m001_008.ly:4:28:29
3,28.094,13.011,dis'',textedit:///work/_1/m001_008.ly:4:44:45
4,31.496,30.15,e,textedit:///work/_1/m001_008.ly:31:56:57
5,31.496,12.511,e'',textedit:///work/_1/m001_008.ly:4:56:57
6,35.075,14.011,b',textedit:///work/_1/m001_008.ly:4:80:81
7,38.502,15.011,gis',textedit:///work/_1/m001_008.ly:4:95:96
8,42.456,14.011,b',textedit:///work/_1/m001_008.ly:4:123:124
9,47.225,16.011,e',textedit:///work/_1/m001_008.ly:5:4:5
10,49.774,15.511,fis',textedit:///work/_1/m001_008.ly:5:17:18
11,53.175,30.15,e,textedit:///work/_1/m001_008.ly:32:28:29
12,53.175,16.011,e',textedit:///work/_1/m001_008.ly:5:28:29
13,55.723,30.65,dis,textedit:///work/_1/m001_008.ly:32:44:45
14,55.723,16.511,dis',textedit:///work/_1/m001_008.ly:5:44:45
15,59.125,30.15,e,textedit:///work/_1/m001_008.ly:32:56:57
16,59.125,16.011,e',textedit:///work/_1/m001_008.ly:5:56:57
17,62.579,31.65,"b,",textedit:///work/_1/m001_008.ly:32:80:81
18,62.579,17.511,b,textedit:///work/_1/m001_008.ly:5:80:81
19,66.033,32.65,"gis,",textedit:///work/_1/m001_008.ly:32:107:108
20,66.033,18.511,gis,textedit:///work/_1/m001_008.ly:5:95:96
21,69.988,31.65,"b,",textedit:///work/_1/m001_008.ly:32:136:137
22,69.988,17.511,b,textedit:///work/_1/m001_008.ly:5:123:124
23,74.817,33.65,"e,",textedit:///work/_1/m001_008.ly:33:4:5
24,74.817,19.511,e,textedit:///work/_1/m001_008.ly:6:4:5
25,77.572,17.511,b,textedit:///work/_1/m001_008.ly:7:17:18
26,79.826,19.011,fis,textedit:///work/_1/m001_008.ly:7:28:29
27,82.58,17.511,b,textedit:///work/_1/m001_008.ly:7:44:45
28,85.504,18.511,gis,textedit:///work/_1/m001_008.ly:7:56:57
29,88.496,17.511,b,textedit:///work/_1/m001_008.ly:7:69:70
30,91.897,18.011,a,textedit:///work/_1/m001_008.ly:7:80:81
31,94.445,17.511,b,textedit:///work/_1/m001_008.ly:7:95:96
32,97.369,18.511,gis,textedit:///work/_1/m001_008.ly:7:107:108
33,100.361,17.511,b,textedit:///work/_1/m001_008.ly:7:123:124
34,102.615,19.011,fis,textedit:///work/_1/m001_008.ly:7:136:137
35,105.369,17.511,b,textedit:///work/_1/m001_008.ly:7:148:149
36,109.383,19.511,e,textedit:///work/_1/m001_008.ly:14:4:5
37,111.783,16.011,e',textedit:///work/_1/m001_008.ly:10:17:18
38,114.331,16.511,dis',textedit:///work/_1/m001_008.ly:10:28:29
39,117.733,17.011,cis',textedit:///work/_1/m001_008.ly:10:46:47
40,120.133,17.511,b,textedit:///work/_1/m001_008.ly:15:56:57
41,122.71,26.65,e',textedit:///work/_1/m001_008.ly:34:69:70
42,122.71,16.011,e',textedit:///work/_1/m001_008.ly:15:69:70
43,126.111,27.15,dis',textedit:///work/_1/m001_008.ly:34:80:81
44,126.111,16.511,dis',textedit:///work/_1/m001_008.ly:15:80:81
45,128.66,27.65,cis',textedit:///work/_1/m001_008.ly:34:95:96
46,128.66,17.011,cis',textedit:///work/_1/m001_008.ly:15:95:96
47,131.208,28.15,b,textedit:///work/_1/m001_008.ly:34:107:108
48,131.208,17.511,b,textedit:///work/_1/m001_008.ly:15:107:108
49,134.609,28.65,a,textedit:///work/_1/m001_008.ly:34:123:124
50,134.609,18.011,a,textedit:///work/_1/m001_008.ly:15:123:124
51,137.157,29.15,gis,textedit:///work/_1/m001_008.ly:34:136:137
