index,x,y,snippet,href
1,22.931,27.294,e',textedit:///work/_1/m001_008.ly:31:4:5
2,26.483,13.15,e'',textedit:///work/_1/m001_008.ly:4:28:29
3,29.041,13.65,dis'',textedit:///work/_1/m001_008.ly:4:44:45
4,32.471,30.794,e,textedit:///work/_1/m001_008.ly:31:56:57
5,32.471,13.15,e'',textedit:///work/_1/m001_008.ly:4:56:57
6,36.049,14.65,b',textedit:///work/_1/m001_008.ly:4:80:81
7,39.48,15.65,gis',textedit:///work/_1/m001_008.ly:4:95:96
8,43.433,14.65,b',textedit:///work/_1/m001_008.ly:4:123:124
9,48.215,16.65,e',textedit:///work/_1/m001_008.ly:5:4:5
10,50.773,16.15,fis',textedit:///work/_1/m001_008.ly:5:17:18
11,54.203,30.794,e,textedit:///work/_1/m001_008.ly:32:28:29
12,54.203,16.65,e',textedit:///work/_1/m001_008.ly:5:28:29
13,56.761,31.294,dis,textedit:///work/_1/m001_008.ly:32:44:45
14,56.761,17.15,dis',textedit:///work/_1/m001_008.ly:5:44:45
15,60.192,30.794,e,textedit:///work/_1/m001_008.ly:32:56:57
16,60.192,16.65,e',textedit:///work/_1/m001_008.ly:5:56:57
17,63.645,32.294,"b,",textedit:///work/_1/m001_008.ly:32:80:81
18,63.645,18.15,b,textedit:///work/_1/m001_008.ly:5:80:81
19,67.098,33.294,"gis,",textedit:///work/_1/m001_008.ly:32:107:108
20,67.098,19.15,gis,textedit:///work/_1/m001_008.ly:5:95:96
21,71.05,32.294,"b,",textedit:///work/_1/m001_008.ly:32:136:137
22,71.05,18.15,b,textedit:///work/_1/m001_008.ly:5:123:124
23,75.893,34.294,"e,",textedit:///work/_1/m001_008.ly:33:4:5
24,75.893,20.15,e,textedit:///work/_1/m001_008.ly:6:4:5
25,78.646,18.15,b,textedit:///work/_1/m001_008.ly:7:17:18
26,80.913,19.65,fis,textedit:///work/_1/m001_008.ly:7:28:29
27,83.666,18.15,b,textedit:///work/_1/m001_008.ly:7:44:45
28,86.603,19.15,gis,textedit:///work/_1/m001_008.ly:7:56:57
29,89.579,18.15,b,textedit:///work/_1/m001_008.ly:7:69:70
30,93.009,18.65,a,textedit:///work/_1/m001_008.ly:7:80:81
31,95.567,18.15,b,textedit:///work/_1/m001_008.ly:7:95:96
32,98.505,19.15,gis,textedit:///work/_1/m001_008.ly:7:107:108
33,101.48,18.15,b,textedit:///work/_1/m001_008.ly:7:123:124
34,103.747,19.65,fis,textedit:///work/_1/m001_008.ly:7:136:137
35,106.5,18.15,b,textedit:///work/_1/m001_008.ly:7:148:149
36,110.541,20.15,e,textedit:///work/_1/m001_008.ly:14:4:5
37,112.941,16.65,e',textedit:///work/_1/m001_008.ly:10:17:18
38,115.499,17.15,dis',textedit:///work/_1/m001_008.ly:10:28:29
39,118.93,17.65,cis',textedit:///work/_1/m001_008.ly:10:46:47
40,121.33,18.15,b,textedit:///work/_1/m001_008.ly:15:56:57
41,123.906,27.294,e',textedit:///work/_1/m001_008.ly:34:69:70
42,123.906,16.65,e',textedit:///work/_1/m001_008.ly:15:69:70
43,127.337,27.794,dis',textedit:///work/_1/m001_008.ly:34:80:81
44,127.337,17.15,dis',textedit:///work/_1/m001_008.ly:15:80:81
45,129.895,28.294,cis',textedit:///work/_1/m001_008.ly:34:95:96
46,129.895,17.65,cis',textedit:///work/_1/m001_008.ly:15:95:96
47,132.453,28.794,b,textedit:///work/_1/m001_008.ly:34:107:108
48,132.453,18.15,b,textedit:///work/_1/m001_008.ly:15:107:108
49,135.884,29.294,a,textedit:///work/_1/m001_008.ly:34:123:124
50,135.884,18.65,a,textedit:///work/_1/m001_008.ly:15:123:124
51,138.442,29.794,gis,textedit:///work/_1/m001_008.ly:34:136:137
52,138.442,19.15,gis,textedit:///work/_1/m001_008.ly:15:136:137
53,141.872,30.294,fis,textedit:///work/_1/m001_008.ly:34:148:149
54,141.872,19.65,fis,textedit:///work/_1/m001_008.ly:15:148:149
55,145.667,30.794,e,textedit:///work/_1/m001_008.ly:35:4:5
56,145.667,20.15,e,textedit:///work/_1/m001_008.ly:16:4:5
57,148.42,18.15,b,textedit:///work/_1/m001_008.ly:17:17:18
58,150.687,19.65,fis,textedit:///work/_1/m001_008.ly:17:28:29
59,153.44,18.15,b,textedit:///work/_1/m001_008.ly:17:44:45
60,156.377,19.15,gis,textedit:///work/_1/m001_008.ly:17:56:57
61,159.353,18.15,b,textedit:///work/_1/m001_008.ly:17:69:70
62,162.783,18.65,a,textedit:///work/_1/m001_008.ly:17:80:81
63,165.341,18.15,b,textedit:///work/_1/m001_008.ly:17:95:96
64,168.279,19.15,gis,textedit:///work/_1/m001_008.ly:17:107:108
65,171.254,18.15,b,textedit:///work/_1/m001_008.ly:17:123:124
66,173.521,19.65,fis,textedit:///work/_1/m001_008.ly:17:136:137
67,176.274,18.15,b,textedit:///work/_1/m001_008.ly:17:148:149
68,180.315,20.15,e,textedit:///work/_1/m001_008.ly:24:4:5
69,182.715,16.65,e',textedit:///work/_1/m001_008.ly:20:17:18
70,185.273,17.15,dis',textedit:///work/_1/m001_008.ly:20:28:29
71,188.704,17.65,cis',textedit:///work/_1/m001_008.ly:20:46:47
72,191.104,18.15,b,textedit:///work/_1/m001_008.ly:25:56:57
73,193.68,30.794,e,textedit:///work/_1/m001_008.ly:36:69:70
74,193.68,16.65,e',textedit:///work/_1/m001_008.ly:25:69:70
75,197.111,31.294,dis,textedit:///work/_1/m001_008.ly:36:80:81
76,197.111,17.15,dis',textedit:///work/_1/m001_008.ly:25:80:81
77,199.669,31.794,cis,textedit:///work/_1/m001_008.ly:36:95:96
78,199.669,17.65,cis',textedit:///work/_1/m001_008.ly:25:95:96
79,202.227,32.294,"b,",textedit:///work/_1/m001_008.ly:36:107:108
80,202.227,18.15,b,textedit:///work/_1/m001_008.ly:25:107:108
81,205.658,32.794,"a,",textedit:///work/_1/m001_008.ly:36:123:124
82,205.658,18.65,a,textedit:///work/_1/m001_008.ly:25:123:124
83,208.216,33.294,"gis,",textedit:///work/_1/m001_008.ly:36:136:137
84,208.216,19.15,gis,textedit:///work/_1/m001_008.ly:25:136:137
85,211.646,33.794,"fis,",textedit:///work/_1/m001_008.ly:36:148:149
86,211.646,19.65,fis,textedit:///work/_1/m001_008.ly:25:148:149
87,215.497,34.294,"e,",textedit:///work/_1/m001_008.ly:37:4:5
88,215.497,20.15,e,textedit:///work/_1/m001_008.ly:26:4:5
89,218.472,19.65,fis,textedit:///work/_1/m001_008.ly:26:17:18
90,221.903,19.15,gis,textedit:///work/_1/m001_008.ly:26:28:29
91,224.461,18.65,a,textedit:///work/_1/m001_008.ly:26:44:45
92,227.891,18.15,b,textedit:///work/_1/m001_008.ly:26:56:57
93,230.449,17.65,cis',textedit:///work/_1/m001_008.ly:26:69:70
94,233.88,17.15,dis',textedit:///work/_1/m001_008.ly:26:80:81
95,236.438,16.65,e',textedit:///work/_1/m001_008.ly:26:95:96
96,239.869,16.15,fis',textedit:///work/_1/m001_008.ly:26:107:108
97,242.427,15.65,gis',textedit:///work/_1/m001_008.ly:26:123:124
98,245.857,15.15,a',textedit:///work/_1/m001_008.ly:26:136:137
99,248.415,16.15,fis',textedit:///work/_1/m001_008.ly:26:148:149
100,253.178,34.294,"e,",textedit:///work/_1/m001_008.ly:38:4:5
101,253.178,15.65,gis',textedit:///work/_1/m001_008.ly:27:4:5
102,255.931,14.65,b',textedit:///work/_1/m001_008.ly:27:17:18
103,258.596,16.65,e',textedit:///work/_1/m001_008.ly:27:28:29
104,261.155,16.15,fis',textedit:///work/_1/m001_008.ly:27:44:45
105,264.585,15.65,gis',textedit:///work/_1/m001_008.ly:27:56:57
106,267.143,15.15,a',textedit:///work/_1/m001_008.ly:27:69:70
107,270.574,14.65,b',textedit:///work/_1/m001_008.ly:27:80:81
108,273.132,14.15,cis'',textedit:///work/_1/m001_008.ly:27:95:96
109,276.562,13.65,dis'',textedit:///work/_1/m001_008.ly:27:107:108
110,279.12,13.15,e'',textedit:///work/_1/m001_008.ly:27:123:124
111,282.551,14.15,cis'',textedit:///work/_1/m001_008.ly:27:136:137
112,285.109,13.65,dis'',textedit:///work/_1/m001_008.ly:27:148:149
113,288.573,34.294,"e,",textedit:///work/_1/m009_016.ly:43:6:7
114,288.573,13.15,e'',textedit:///work/_1/m009_016.ly:8:6:7
115,290.973,18.15,b,textedit:///work/_1/m009_016.ly:16:20:21
116,292.773,15.15,a',textedit:///work/_1/m009_016.ly:8:31:32
117,294.573,18.15,b,textedit:///work/_1/m009_016.ly:16:45:46
118,296.373,15.65,gis',textedit:///work/_1/m009_016.ly:8:57:58
119,298.173,18.15,b,textedit:///work/_1/m009_016.ly:16:70:71
120,299.973,15.15,a',textedit:///work/_1/m009_016.ly:8:81:82
121,301.773,18.15,b,textedit:///work/_1/m009_016.ly:16:98:99
122,303.573,15.65,gis',textedit:///work/_1/m009_016.ly:8:105:106
123,305.373,18.15,b,textedit:///work/_1/m009_016.ly:16:116:117
124,307.173,16.15,fis',textedit:///work/_1/m009_016.ly:8:125:126
125,308.973,18.15,b,textedit:///work/_1/m009_016.ly:16:140:141
126,313.507,16.65,e',textedit:///work/_1/m009_016.ly:9:6:7
127,316.065,13.15,e'',textedit:///work/_1/m009_016.ly:17:20:21
128,319.496,30.794,e,textedit:///work/_1/m009_016.ly:44:31:32
129,319.496,13.65,dis'',textedit:///work/_1/m009_016.ly:17:31:32
130,322.054,30.294,fis,textedit:///work/_1/m009_016.ly:44:45:46
131,322.054,14.15,cis'',textedit:///work/_1/m009_016.ly:17:45:46
132,324.557,29.794,gis,textedit:///work/_1/m009_016.ly:44:57:58
133,324.557,14.65,b',textedit:///work/_1/m009_016.ly:9:57:58
134,326.957,16.65,e',textedit:///work/_1/m009_016.ly:17:70:71
135,328.757,29.294,a,textedit:///work/_1/m009_016.ly:44:81:82
136,328.757,14.15,cis'',textedit:///work/_1/m009_016.ly:9:81:82
137,330.557,16.65,e',textedit:///work/_1/m009_016.ly:17:98:99
