 ELAPSD SYSCALL(args) 		 = return
     14 munmap(0x112749000, 0x8C000)		 = 0 0
dtrace: error on enabled probe ID 1696 (ID 845: syscall::stat64:return): invalid address (0x0) in action #11 at DIF offset 12
      5 munmap(0x1127D5000, 0x6000)		 = 0 0
      3 munmap(0x1127DB000, 0x3000)		 = 0 0
      4 munmap(0x1127DE000, 0x2000)		 = 0 0
      3 munmap(0x1127E0000, 0x45000)		 = 0 0
      2 munmap(0x112825000, 0x4C000)		 = 0 0
     21 fsgetpath(0x7FF7BD487E00, 0x400, 0x7FF7BD487DE8)		 = 15 0
      5 fsgetpath(0x7FF7BD487E00, 0x400, 0x7FF7BD487DE8)		 = 14 0
      2 csrctl(0x0, 0x7FF7BD48820C, 0x4)		 = -1 Err#1
      6 __mac_syscall(0x7FF813B5C853, 0x2, 0x7FF7BD488060)		 = 0 0
      0 csrctl(0x0, 0x7FF7BD4881FC, 0x4)		 = -1 Err#1
      3 __mac_syscall(0x7FF813B597C1, 0x5A, 0x7FF7BD488190)		 = 0 0
      8 sysctl([unknown, 3, 0, 0, 0, 0] (2), 0x7FF7BD487400, 0x7FF7BD4873F8, 0x7FF813B5B335, 0xD)		 = 0 0
      3 sysctl([CTL_KERN, 139, 0, 0, 0, 0] (2), 0x7FF7BD487480, 0x7FF7BD487CB0, 0x0, 0x0)		 = 0 0
      3 sysctl([unknown, 3, 0, 0, 0, 0] (2), 0x7FF7BD486CD0, 0x7FF7BD486CC8, 0x7FF813B5B914, 0xC)		 = 0 0
      2 sysctl([CTL_KERN, 4, 0, 0, 0, 0] (2), 0x7FF7BD4871E0, 0x7FF7BD487430, 0x0, 0x0)		 = 0 0
     19 open("/\0", 0x20100000, 0x0)		 = 3 0
     20 openat(0x3, "System/Cryptexes/OS\0", 0x100000, 0x0)		 = 4 0
      1 dup(0x4, 0x0, 0x0)		 = 5 0
      6 fstatat64(0x4, 0x7FF7BD486F21, 0x7FF7BD487320)		 = 0 0
      9 openat(0x4, "System/Library/dyld/\0", 0x100000, 0x0)		 = 6 0
      2 fcntl(0x6, 0x32, 0x7FF7BD486FB0)		 = 0 0
      1 dup(0x6, 0x0, 0x0)		 = 7 0
      0 dup(0x5, 0x0, 0x0)		 = 8 0
      2 close(0x3)		 = 0 0
      0 close(0x5)		 = 0 0
      0 close(0x4)		 = 0 0
      0 close(0x6)		 = 0 0
      3 __mac_syscall(0x7FF813B5C853, 0x2, 0x7FF7BD487B80)		 = 0 0
      1 shared_region_check_np(0x7FF7BD487888, 0x0, 0x0)		 = 0 0
      4 fsgetpath(0x7FF7BD487E30, 0x400, 0x7FF7BD487D38)		 = 83 0
